latitude,longitude,size
34.0522665964,-117.692125607,170
45.0040567118,-93.3980610735,103
33.5752166526,-117.710214753,149
1.35050572385,103.820123908,130
41.9490617261,-87.8549323345,79
33.0017127946,-96.7048462953,127
40.7575775698,-111.893392433,125
43.0530551547,-76.1424481227,112
38.986166957,-94.6755812711,128
39.0946208906,-77.1755230732,123
41.8349454008,-87.9639400032,101
32.7259976095,-97.3204395373,126
45.5052664752,-73.5583670344,126
26.0096479056,-80.2012187645,103
34.0597177398,-84.3195033236,123
41.6005448,-93.6091064,121
42.1323292975,-87.9728772625,70
27.7785576731,-82.6463569521,112
34.0489281,-111.0937311,118
28.6401575291,-81.3439952043,133
44.8824179905,-93.487603569,98
47.4599667448,-122.268101284,105
40.0545556947,-75.3404256623,136
41.7945905018,-88.1310589241,100
21.3051293714,-157.856329993,112
26.3281866505,-80.0937970162,112
39.8917787622,-75.0525422829,119
43.0278161673,-88.0334766936,110
39.9749918382,-86.0514324618,112
35.7943325908,-78.8024671275,97
42.2711455633,-83.7267892642,109
32.7874716491,-79.9225071407,109
40.7831003398,-74.4079222074,111
38.519926834,-90.3836556972,95
38.2570665,-85.7622947171,105
30.4413791533,-84.28547962,105
42.1597400067,-87.83678705,71
37.9218477204,-122.061575474,101
40.2559838225,-74.0398319137,75
35.2013516,-111.639249,102
28.3783200755,-81.5369382,102
-6.9138880198,107.608732559,102
34.0607616704,-117.830885115,90
35.9940329,-78.898619,95
40.56422172,-74.5605366758,90
40.53643,-74.3099249642,64
41.597604467,-93.7240524723,95
40.7807059554,-73.4186058924,137
41.1400882815,-73.3577478641,65
-0.3012262,36.5229641,92
39.0827740681,-76.6485503637,63
-23.5489433,-46.6388182,91
40.1540750789,-74.0392877444,78
26.2122430289,-80.2402029156,56
38.9517053,-92.3340724,90
34.0010488044,-84.1491179056,46
39.2165237438,-76.8459766101,68
-6.30294338202,106.796648376,92
39.8541495449,-105.05147581,66
42.7311074125,-84.5104162125,90
41.3002391784,-72.9415987886,77
48.8574495409,2.34445476818,90
32.8889030644,-97.1835441862,52
33.780164608,-84.2761043621,84
40.4200173494,-74.28390854,42
-7.26584656667,112.742307095,84
19.4244018083,-99.1376341083,87
37.5578493845,-121.997564633,84
40.8088514914,-96.680796679,81
37.9303167469,-122.521916827,81
35.9128977926,-79.0577649938,81
37.7045555275,-121.92386105,66
41.7724072862,-72.6868733513,62
42.6168375975,-83.1882223138,62
39.1974227203,-76.6796759759,65
43.0313713256,-88.2015288974,60
42.2991546026,-83.3991318103,86
32.8026755,-96.95704285,78
39.6165778526,-104.989012719,79
36.0337440731,-115.00209935,78
40.3322036591,-74.6609857934,65
31.7587198,-106.4869314,77
33.1796797571,-117.367102186,77
47.806842087,-122.278557843,79
41.8233483818,-71.4074490325,72
40.9137656671,-74.2612874408,88
42.6910061813,-73.743376928,75
33.9205611627,-84.2852980467,75
40.7453089013,-73.2839891813,77
42.2794699946,-85.5862520595,75
33.6498436041,-84.4397596904,79
38.9724472681,-76.926618625,59
36.8529263,-75.977985,71
35.9630914282,-83.9176361986,71
41.9148103643,-88.0503583586,64
41.0551408614,-73.9222166929,55
33.1488483643,-117.157362994,70
26.6825195652,-80.0557849,56
40.0626172087,-74.3988431391,69
40.8145905765,-73.0742031279,80
13.7225635882,100.491717946,67
45.410624791,-75.6993164776,67
42.3348611552,-87.8764098582,62
36.8294485134,-76.2829814328,67
30.4509711761,-91.1541261821,67
26.5201997323,-80.0666104,52
36.0725659323,-79.7938248277,65
32.7908284923,-116.984813822,65
40.2518852195,-74.7711433499,53
41.6537786531,-87.7904514375,46
38.8352261625,-77.4391592203,49
44.7696213635,-93.1923227508,85
41.4621245238,-81.8425088302,59
39.0825883222,-77.5247940429,64
34.8525944935,-82.3931016677,62
35.4665242355,-97.5167142758,61
27.9873030903,-82.7887624532,43
34.1623005459,-118.830675382,61
40.5852602,-105.084423,61
38.8351506033,-104.825381833,61
41.3643622333,-81.764169065,56
45.0421127317,-93.17742932,52
43.58714831,-116.195912607,60
33.15100781,-96.8391075867,54
42.5304107983,-82.9667705186,51
42.2456171492,-71.0157593627,50
22.3641426672,114.129416414,58
40.1148113241,-88.2334206379,58
40.3672201345,-74.1767314793,35
42.4845676579,-83.4258278175,55
39.7494838912,-84.1916457561,51
41.0976387246,-81.4998131965,46
35.6768960649,139.719358656,59
42.2406796125,-71.1763886018,131
40.1340763089,-75.1804773286,51
51.045,-114.0572222,56
39.9694726607,-105.085916873,54
41.1671815429,-73.2191218589,45
36.778261,-119.4179324,56
34.3939734,-118.542795904,56
38.7296440536,-121.254919709,51
42.261630575,-87.9980521339,43
33.9557329411,-83.3819227679,56
41.7739867273,-87.8001161564,59
42.4604144509,-70.9637012836,77
39.3697463741,-74.431610113,49
29.6516344,-82.3248262,54
39.5296202852,-119.80914505,54
40.4872400585,-80.202342266,39
41.1324033981,-73.9897018925,42
